Week_Ended,A_Note_ Issued,A1_Notes_in_Circulation,A2_Notes_Held_in_Banking_Department,B_Deposits,B1_Deposits_Central_Government,B2_Deposits_Market Stabilisation_Scheme,B3_Deposits_State_Governments,B4_Deposits_Scheduled_Commercial_Banks,B5_Deposits_Scheduled State_Cooperative_Banks,B6_Deposits_Other_Banks,B7_Deposits_Others,C_Other_Liabilities,D_Total_Liabilities_OR_Assets,D1_Foreign_Currency_Assets,D2_Gold,D3_Rupee_Securities,E_Loans_and_Advances,E1_Loans_Central_Government,E2_Loans_State_Governments,E3_Loans_NABARD,E4_Loans_Scheduled_Commercial_Banks,E5_Loans_Scheduled State_Cooperative_Banks,E6_Loans_Others,F_Investments,G_Other_Assets,A_Note_ Issued_ratio,A1_Notes_in_Circulation_ratio,A2_Notes_Held_in_Banking_Department_ratio,B_Deposits_ratio,B1_Deposits_Central_Government_ratio,B2_Deposits_Market Stabilisation_Scheme_ratio,B3_Deposits_State_Governments_ratio,B4_Deposits_Scheduled_Commercial_Banks_ratio,B5_Deposits_Scheduled State_Cooperative_Banks_ratio,B6_Deposits_Other_Banks_ratio,B7_Deposits_Others_ratio,C_Other_Liabilities_ratio,D_Total_Liabilities_OR_Assets_ratio,D1_Foreign_Currency_Assets_ratio,D2_Gold_ratio,D3_Rupee_Securities_ratio,E_Loans_and_Advances_ratio,E1_Loans_Central_Government_ratio,E2_Loans_State_Governments_ratio,E3_Loans_NABARD_ratio,E4_Loans_Scheduled_Commercial_Banks_ratio,E5_Loans_Scheduled State_Cooperative_Banks_ratio,E6_Loans_Others_ratio,F_Investments_ratio,G_Other_Assets_ratio,A,B,C,D,E,F,G,A_to_B,A_to_C,A_to_D,A_to_E,A_to_F,A_to_G,B_to_A,B_to_C,B_to_D,B_to_E,B_to_F,B_to_G,C_to_A,C_to_B,C_to_D,C_to_E,C_to_F,C_to_G,D_to_A,D_to_B,D_to_C,D_to_E,D_to_F,D_to_G,E_to_A,E_to_B,E_to_C,E_to_D,E_to_F,E_to_G,F_to_A,F_to_B,F_to_C,F_to_D,F_to_E,F_to_G,G_to_A,G_to_B,G_to_C,G_to_D,G_to_E,G_to_F
01-01-2010,750311.0,750297.0,15.0,284085.0,37193.0,18773.0,41.0,202108.0,3191.0,10781.0,11998.0,385339.0,1419736.0,1207696.0,85387.0,101541.0,5225.0,,,,190.0,,5035.0,2750.0,17138.0,0.49999966680505364,0.4999903373465554,9.995848390968284e-06,0.5,0.06546104158966506,0.03304116725627893,7.216150095921995e-05,0.3557174789235616,0.005616276818557826,0.018974954679057323,0.021116919231920023,1.0,0.5044614050796629,0.42911923137054253,0.030339757529242884,0.03607960602055174,0.5,,,,0.01818181818181818,,0.4818181818181818,1.0,1.0,1500623.0,568170.0,385339.0,2814360.0,10450.0,2750.0,17138.0,2.6411514159494516,3.894293077004923,0.5332022200429227,143.6002870813397,545.6810909090909,87.56115065935349,0.3786227453530967,1.4744679360251622,0.20188248838101736,54.37033492822967,206.60727272727271,33.152643248920526,0.2567860148751552,0.6782107467835331,0.13691887320740773,36.874545454545455,140.12327272727273,22.484478935698448,1.8754610585070335,4.953376630233909,7.303595016336265,269.3167464114833,1023.4036363636363,164.21752829968491,0.006963774379041238,0.018392382561557282,0.02711897835412455,0.0037130999587828136,3.8,0.6097560975609756,0.0018325722050108522,0.004840100674094021,0.007136573251085408,0.0009771315681007405,0.2631578947368421,0.16046213093709885,0.01142058998162763,0.03016350740095394,0.04447512450076426,0.0060894839324038144,1.64,6.232
01-01-2016,1533110.46,1533096.69,13.78,546011.39,100.36,,42.46,380875.59,3461.35,21302.87,140228.77,900630.25,2979752.11,2190800.97,114346.59,542323.34,114533.06,,9.33,,108852.0,35.16,5636.57,1320.0,16428.16,0.49999999836932824,0.49999550749919386,4.494131477994967e-06,0.499999995421341,9.19028438957762e-05,,3.888197241744378e-05,0.3487798913061146,0.003169668281373505,0.01950771558531301,0.1284119445895447,1.0,0.5113502786638674,0.37595969233379317,0.019622827168922784,0.0930672018334167,0.49999999999999994,,4.0730597785477834e-05,,0.47519903860073237,0.0001534927993716399,0.024606738002110478,1.0,1.0,3066220.9299999997,1092022.79,900630.25,5827223.01,229066.12000000002,1320.0,16428.16,2.8078360251071315,3.4045280291218285,0.5261890483233796,13.385746133037916,2322.8946439393935,186.64420908975805,0.35614615349977413,1.2125095620539061,0.18740020557407844,4.76728199700593,827.2899924242424,66.47261714032491,0.29372646999705926,0.8247357639852919,0.15455565171513833,3.9317479599340133,682.2956439393939,54.82234468132767,1.900457645757444,5.336173441948038,6.4701613231401005,25.439043582700048,4414.562886363637,354.7094142009817,0.0747063323972549,0.2097631314086403,0.2543398025993464,0.03930965394784162,173.53493939393942,13.943504324282209,0.00043049735493130305,0.0012087659818894438,0.0014656403113264295,0.00022652299349703453,0.005762528304054742,0.08034983832638591,0.005357787444233512,0.01504378860078552,0.018240737527969998,0.002819209076400184,0.07171798256328783,12.445575757575757
01-01-2021,2743709.79,2743696.48,13.31,1492711.87,100.37,,42.51,474192.63,5953.6,29219.1,983203.66,1460300.97,5696722.62,3988283.68,270554.44,1293887.6,149642.85,,5568.95,25100.86,77140.0,,41833.04,1963.6,8117.44,0.5000000000000001,0.4999975744519249,2.4255480751847306e-06,0.5,3.362001804139201e-05,,1.4239184686057328e-05,0.1588359547244707,0.0019942227698638185,0.00978725385227894,0.32933470945065907,1.0,0.5064001760641003,0.35453148985259486,0.024050462904743646,0.11501787117856128,0.5,,0.018607471055249215,0.0838692259603449,0.2577470290094047,,0.13977627397500114,1.0,1.0,5487419.579999999,2985423.74,1460300.97,11249448.34,299285.7,1963.6,8117.44,1.8380705916139055,3.7577319283709025,0.4877945490436377,18.33505436444173,2794.5709818700343,676.0037129932589,0.5440487457676784,2.044389342561349,0.2653840125995014,9.975163330556722,1520.3828376451418,367.77897218827616,0.2661179719739966,0.4891436181853367,0.1298108961314631,4.879287483498209,743.685562232634,179.8967371486577,2.0500434085632655,3.7681245008120685,7.703513570904496,37.587657345472905,5728.991821144837,1385.8369559861237,0.05454033460295377,0.10024898509047162,0.20494795672155172,0.026604477922336948,152.41683642289672,36.86946869949147,0.0003578366792210921,0.0006577290766770682,0.0013446543146513146,0.0001745507815719255,0.006560954967110021,0.24189892379863603,0.0014792818157346008,0.00271902440221099,0.005558744510044391,0.0007215856062147133,0.027122712511823983,4.133958036259931
01-02-2008,551969.0,551958.0,12.0,532732.0,39312.0,170670.0,41.0,293059.0,3175.0,12210.0,14265.0,154755.0,1239458.0,1114051.0,36236.0,81388.0,2661.0,,,,724.0,10.0,153.0,2750.0,4146.0,0.49999954707642363,0.49998958275774297,1.087016583343826e-05,0.5,0.03689660091753452,0.16018373215800816,3.8480887200318356e-05,0.27505293468385605,0.002979922362463678,0.011459795919899688,0.013388533071037595,1.0,0.5015747837125724,0.4508259976294275,0.014663719030906066,0.032935499627094134,0.75,,,,0.2040586245772266,0.002818489289740699,0.043122886133032695,1.0,1.0,1103939.0,1065464.0,154755.0,2471133.0,3548.0,2750.0,4146.0,1.0361110276837133,7.1334625698685015,0.4467339475455186,311.14402480270576,401.4323636363636,266.26603955619873,0.9651475307965386,6.8848437853381155,0.43116416639654764,300.2998872604284,387.4414545454545,256.98601061263867,0.14018437612947818,0.14524657801671384,0.06262511973252755,43.61753100338219,56.27454545454545,37.326338639652676,2.238468792206816,2.3193022007313244,15.968033343026073,696.4861894024802,898.5938181818182,596.0282199710564,0.003213945698086579,0.003330004580164135,0.022926561338890504,0.001435778648903155,1.290181818181818,0.8557645923781958,0.002491079670162935,0.002581035117094524,0.017770023585667667,0.0011128498547022761,0.7750845546786922,0.6632899179932465,0.003755642295452919,0.0038912623983541443,0.02679073374042842,0.0016777729082165954,1.1685456595264938,1.5076363636363637
01-02-2013,1139570.61,1139558.26,12.35,372948.0,22428.37,,42.47,320360.44,3177.56,14990.21,11948.95,675821.82,2188340.43,1397686.62,143746.25,616675.12,23053.14,,,,22579.01,,474.13,1320.0,5859.3,0.5,0.49999458129233426,5.418707665688218e-06,0.5,0.030069031071355792,,5.693823267586902e-05,0.42949746345335005,0.004260057702414277,0.020096916996471356,0.016019592543732638,1.0,0.5034778325978616,0.32156981630533193,0.03307211684338819,0.14188023425341834,0.5000000000000001,,,,0.489716585246088,,0.01028341475391205,1.0,1.0,2279141.22,745896.0,675821.82,4346448.42,46106.27999999999,1320.0,5859.3,3.05557506676534,3.372399577154819,0.5243686338281682,49.4323380676125,1726.6221363636366,388.9784138036967,0.32727063749037894,1.1036873594877419,0.17161045707290368,16.177752792027466,565.0727272727273,127.30121345553222,0.29652476734197275,0.9060536857685253,0.15548828714732568,14.657912544668537,511.9862272727272,115.34173365419076,1.907055333762951,5.827150728787927,6.431352601193019,94.27020397221378,3292.7639545454545,741.8033587629922,0.02022967229735768,0.06181328228063965,0.0682225383015896,0.010607805625356988,34.928999999999995,7.868905841994776,0.0005791655156848946,0.0017696837092570545,0.0019531775401983916,0.0003036962302200747,0.028629505568438837,0.22528288362091034,0.002570836747009472,0.007855384664886257,0.008669888758548815,0.001348066152824609,0.1270824711948134,4.438863636363637
01-02-2019,2035589.05,2035577.24,11.81,673643.48,100.93,,42.49,498433.0,3637.06,31167.0,140263.0,1156694.0,3865926.0,2685126.0,161147.0,859098.0,145259.85,34488.0,4588.85,,99845.0,,6338.0,3400.0,12615.0,0.5,0.49999709911978546,2.9008802145010556e-06,0.5,7.491351359921128e-05,,3.153745360973434e-05,0.3699531093212689,0.002699543681473767,0.023133156428679455,0.10410773960136896,1.0,0.5106028729291692,0.35464544581991697,0.021283935896320008,0.11346774535459381,0.5,0.11871139891718185,0.01579531439692386,,0.34367721018574643,,0.021816076500147837,1.0,1.0,4071178.1,1347286.96,1156694.0,7571297.0,290519.7,3400.0,12615.0,3.0217601898262267,3.5196673450368032,0.5377121119406623,14.013432135583232,1197.4053235294118,322.7251763773286,0.3309329454292358,1.1647738814241277,0.17794665299749832,4.6375063722012655,396.26087058823526,106.80039318271898,0.28411775942693346,0.8585357346589326,0.15277356046130539,3.9814649402432947,340.2041176470588,91.69195402298851,1.8597312163769009,5.619661753424824,6.545635232827351,26.061217191123355,2226.852058823529,600.1820848196592,0.07136010581310603,0.21563312688783096,0.2511638341687603,0.03837119320507438,85.4469705882353,23.02970273483948,0.0008351390964693978,0.0025235900746786713,0.0029394118064068804,0.00044906440732677636,0.011703165052146206,0.26952041220768924,0.0030986116770474865,0.009363261409432775,0.010906082334653764,0.001666161028949201,0.0434221844508307,3.710294117647059
01-03-2013,1151803.06,1151788.21,14.86,361906.11,35669.38,,42.48,296533.65,3087.76,14503.11,12069.73,684142.36,2197851.53,1407790.11,141383.07,617966.66,22664.84,,1139.96,,20614.59,,910.29,1320.0,6726.86,0.4999999978294901,0.49999355141497215,6.450755537796733e-06,0.5,0.04927988090612783,,5.86892550667354e-05,0.40968312195668655,0.004265968319794325,0.02003711680910831,0.0166752227532163,1.0,0.5035179554089245,0.32251841771682593,0.0323902289868674,0.14157339788738235,0.5,,0.025148203119898488,,0.45477025207325533,,0.020081544806846197,1.0,1.0,2303606.13,723812.22,684142.36,4364991.369999999,45329.68,1320.0,6726.86,3.18260187704485,3.3671444200590064,0.5277458612707406,50.818936511354146,1745.1561590909091,342.44894794896874,0.3142083234515442,1.0579848030459624,0.16582214227837067,15.967732840823054,548.3425909090909,107.6003098027906,0.29698755837222923,0.9451931607344236,0.15673395477984647,15.0925918735804,518.2896666666667,101.70307691850284,1.8948514301791684,6.03055771840934,6.380238419968615,96.29433452872377,3306.8116439393934,648.889878784455,0.01967770419155813,0.06262629829598622,0.06625767186817667,0.01038482694640471,34.340666666666664,6.738609098450095,0.0005730146238150529,0.0018236774173279362,0.0019294229931910664,0.0003024060961660046,0.02911999378773466,0.196228255084839,0.002920143297239793,0.009293653539035303,0.009832544209073679,0.0015410935394357952,0.1483985768264854,5.09610606060606
01-03-2019,2080242.16,2080212.38,29.77,644912.55,100.43,,43.0,496351.54,3751.86,31736.71,112929.0,1155455.0,3880610.0,2681494.0,165551.0,894762.0,121410.24,17251.0,1417.24,,98264.0,,4478.0,3380.0,14013.0,0.5000000012017831,0.49999284338125527,7.1554169615411915e-06,0.5000000038764946,7.786327059275921e-05,,3.333785358447322e-05,0.38482081318483263,0.002908813008126551,0.02460543700541598,0.08755373180095294,1.0,0.5091049203946727,0.351790514740928,0.02171896394542571,0.1173856009189736,0.5000000000000001,0.07104425458676303,0.005836575234510697,,0.4046775626174531,,0.018441607561273252,1.0,1.0,4160484.31,1289825.09,1155455.0,7622417.0,242820.47999999998,3380.0,14013.0,3.225618994587863,3.600732447390855,0.545822186059881,17.133992610507978,1230.9125177514793,296.9017562263612,0.310018015667027,1.1162919282879906,0.16921471102932312,5.311846389563187,381.6050562130178,92.04489331335189,0.2777212732716687,0.8958230142662211,0.1515864324924758,4.758474244017639,341.85059171597635,82.45593377577963,1.8320984847074209,5.9096516722278984,6.596896460701628,31.391161898699817,2255.1529585798817,543.9532576892885,0.058363512972844256,0.18825845603608157,0.2101513949050374,0.03185610023697208,71.84037869822485,17.328229501177475,0.0008124054192142837,0.002620510351523709,0.002925254553401041,0.0004434289018824344,0.013919748449554174,0.24120459573253408,0.0033681174968786267,0.010864263773935425,0.012127689957635737,0.0018383932550528263,0.057709300302841014,4.14585798816568
01-03-2024,3424547.34,3424536.01,11.33,1551487.89,100.12,,42.49,959782.63,8354.24,53521.97,529686.44,1718716.43,6694751.66,4637777.0,401430.02,1362319.0,272446.26,,3252.0,,112767.0,35.0,156392.26,2064.0,18716.0,0.5,0.4999983457667722,1.6542332277993858e-06,0.5,3.22658013141179e-05,,1.3693307009956748e-05,0.3093103839824364,0.002692331681686539,0.017248594186577895,0.1707027310409751,1.0,0.5111949993412174,0.354129403279421,0.0306522227008858,0.10402337467847582,0.5,,0.005968149461842493,,0.2069527399642043,6.423285091158894e-05,0.28701487772304163,1.0,1.0,6849094.68,3102975.78,1718716.43,13096277.68,544892.52,2064.0,18716.0,2.20726656139095,3.985005647499396,0.5229802580056473,12.569625070279914,3318.3598255813954,365.9486364607822,0.45304904151215497,1.8054029890201257,0.23693570461923802,5.694656590257469,1503.379738372093,165.79267899123744,0.2509406732277791,0.5538929569086098,0.13123701802877472,3.1542301773568115,832.7114486434108,91.83139720025646,1.9121180669676479,4.22055427064919,7.619801295551705,24.034607191891713,6345.0957751937985,699.7369993588374,0.07955686779905925,0.1756032140218639,0.31703456747661396,0.04160667124767318,263.9983139534884,29.113727292156444,0.00030135369657351564,0.0006651679375982754,0.001200896182740279,0.00015760203398497275,0.0037879029794719884,0.11027997435349433,0.0027326239268749605,0.006031629418647928,0.010889521781088693,0.0014291083663094718,0.03434805821889425,9.067829457364342
01-04-2005,360569.0,360552.0,18.0,175988.0,1590.0,62731.0,41.0,92983.0,2000.0,5342.0,11301.0,129426.0,665984.0,591769.0,19686.0,35960.0,14112.0,,593.0,3913.0,95.0,13.0,90.0,3973.0,9892.0,0.49999930665239295,0.4999757328337533,2.4960513853778536e-05,0.5,0.004517353455917449,0.17822521990135692,0.00011648521490101598,0.2641742618814919,0.005682205604927609,0.015177171170761642,0.032107302770643456,1.0,0.5070690627905153,0.45056300484468165,0.014988590671989243,0.027379341692813836,0.75,,0.03151573129251701,0.20796130952380953,0.00504889455782313,0.0006909013605442177,0.0047831632653061226,1.0,1.0,721139.0,351976.0,129426.0,1313399.0,18816.0,3973.0,9892.0,2.0488300338659453,5.571824826541808,0.5490631559792569,38.32583971088435,181.50994210923736,72.90123331985443,0.48808343467764187,2.7195153987606817,0.2679886310253015,18.706207482993197,88.5919959728165,35.5818843509907,0.17947441477995227,0.36771257131168034,0.09854278859661078,6.878507653061225,32.576390636798386,13.08390618681763,1.8212841075021597,3.731501579653158,10.147876006366573,69.80224277210884,330.58117291719105,132.7738576627578,0.026092057148483165,0.05345819033115894,0.14538037179546615,0.014326187243937296,4.735967782532092,1.9021431459765468,0.005509340085614563,0.011287701434188694,0.03069707786688919,0.003024975654770561,0.2111500850340136,0.401637687019814,0.013717189057865405,0.028104188921971952,0.0764297745429821,0.007531603115275709,0.5257227891156463,2.4898061917946137
