Week_Ended,A_Note_Issued,A1_Notes_in_Circulation,A2_Notes_Held_in_Banking_Department,B_Deposits,B1_Deposits_Central_Government,B2_Deposits_Market Stabilisation_Scheme,B3_Deposits_State_Governments,B4_Deposits_Scheduled_Commercial_Banks,B5_Deposits_Scheduled State_Cooperative_Banks,B6_Deposits_Other_Banks,B7_Deposits_Others,C_Other_Liabilities,D_Total_Liabilities_OR_Assets,D1_Foreign_Currency_Assets,D2_Gold,D3_Rupee_Securities,E_Loans_and_Advances,E1_Loans_Central_Government,E2_Loans_State_Governments,E3_Loans_NABARD,E4_Loans_Scheduled_Commercial_Banks,E5_Loans_Scheduled State_Cooperative_Banks,E6_Loans_Others,F_Investments,G_Other_Assets
10-10-2025,3770189.86,3770177.7,12.16,1654275.08,100.39,,42.46,833282.74,7008.78,47614.41,766226.3,2572197.27,7996662.21,5103903.02,907894.09,1734143.45,229385.12,,16116.1,,40552,,172717.02,2063.6,19272.93
03-10-2025,3761907.92,3761894.49,13.43,1629156.59,100.1,,42.5,883595.63,7640.23,50512.11,687266.02,2582289.07,7973353.58,5159591.38,876896.19,1734993.67,180816.91,,22136.96,,1512,,157167.95,2063.6,18991.83
26-09-2025,3759652,3759636.14,15.72,1819019.38,100.78,,42.47,897508.58,7602.15,50157.2,863608.2,2514282.53,8092953.77,5191560,842934.89,1731582,298337.18,,32621.55,,84836,,180879.63,2063.6,26476
19-09-2025,3761730.37,3761714.23,16.14,1834382.35,100.55,,42.48,884937.44,7605.01,50174.41,891522.46,2482466.78,8078579.5,5194363.48,817376.4,1772838.84,267134.24,,32445.24,,57401,,177288,2063.6,24802.94
12-09-2025,3777218.58,3777203.86,14.72,1744671.97,100.42,,42.48,909536.25,7506.06,49920.27,777566.49,2495020.71,8016911.26,5212755.3,815902.69,1770918.83,191488.55,,29150.3,,1184,,161154.25,2063.6,23782.29
05-09-2025,3776975.92,3776964.11,11.81,1771755.68,100.87,,42.46,926600.77,8173.95,53660.38,783177.25,2449109.25,7997840.85,5188750.17,796945.66,1771131.28,215443.28,,44070.35,,3936,,167436.93,2063.6,23506.86
29-08-2025,3763891.8,3763879,13,1737992,101,,42,959655,8031,53147,717016,2399650,7901534,5183422.52,765603,1765179.26,165350,,19623,,1950,,143777,2063.6,19917.17
22-08-2025,3773448,3773434,14,1739682,100,,43,932900,8011,53016,745612,2303451,7816581,5127539,744074.4,1767876,154651,,27463,,1818,,125370,2064,20377
15-08-2025,3788192.36,3788176.13,16.23,1732715.11,100.27,,42.48,954550.89,8122.15,52726.49,717172.83,2349219.81,7870127.28,5161298.38,750161.24,1774609.87,161884.66,,34130.03,,1187,,126567.63,2063.6,20109.53
08-08-2025,3779126.51,3779109.52,16.99,1748115.54,100.92,,42.45,926801.53,8471.6,53047.32,759651.72,2347313.66,7874555.71,5150654.1,755390.73,1779571.87,167058.43,,42791.71,,4352,,119914.72,2063.6,19816.98
