Week_Ended,A_Note_Issued,A1_Notes_in_Circulation,A2_Notes_Held_in_Banking_Department,B_Deposits,B1_Deposits_Central_Government,B2_Deposits_Market Stabilisation_Scheme,B3_Deposits_State_Governments,B4_Deposits_Scheduled_Commercial_Banks,B5_Deposits_Scheduled State_Cooperative_Banks,B6_Deposits_Other_Banks,B7_Deposits_Others,C_Other_Liabilities,D_Total_Liabilities_OR_Assets,D1_Foreign_Currency_Assets,D2_Gold,D3_Rupee_Securities,E_Loans_and_Advances,E1_Loans_Central_Government,E2_Loans_State_Governments,E3_Loans_NABARD,E4_Loans_Scheduled_Commercial_Banks,E5_Loans_Scheduled State_Cooperative_Banks,E6_Loans_Others,F_Investments,G_Other_Assets
2004-07-02,333264.0,333237.0,27.0,134169.0,101.0,39295.0,41.0,72652.0,1640.0,4620.0,15820.0,137666.0,605100.0,527242.0,18655.0,33675.0,10480.0,6035.0,2395.0,1957.0,,3.0,90.0,4473.0,10574.0
2004-07-09,335332.0,335311.0,21.0,133423.0,100.0,41735.0,41.0,70114.0,1576.0,4625.0,15232.0,137242.0,605997.0,528093.0,18655.0,36019.0,26295.0,3629.0,3234.0,1809.0,,3.0,90.0,4473.0,9992.0
2004-07-16,333841.0,333822.0,19.0,144280.0,100.0,45251.0,41.0,77392.0,1781.0,4638.0,15077.0,143134.0,621255.0,534358.0,18655.0,47467.0,21576.0,1319.0,3662.0,2118.0,,3.0,90.0,4473.0,9110.0
2004-07-23,330232.0,330217.0,16.0,143753.0,101.0,46206.0,41.0,75714.0,1834.0,4727.0,15130.0,136747.0,610732.0,527903.0,18655.0,42794.0,23274.0,1616.0,4044.0,2005.0,,3.0,90.0,4473.0,9151.0
2004-07-30,326661.0,326641.0,20.0,145895.0,101.0,46206.0,41.0,77399.0,2094.0,4807.0,15247.0,137572.0,610128.0,524732.0,18655.0,47591.0,17181.0,12.0,3162.0,2280.0,180.0,3.0,90.0,4473.0,8950.0
2004-08-06,330115.0,330102.0,13.0,143499.0,100.0,47161.0,41.0,74526.0,1756.0,4649.0,15266.0,142442.0,616056.0,528921.0,19150.0,43563.0,30264.0,7579.0,2226.0,114.0,50.0,29.0,90.0,4473.0,9862.0
2004-08-13,330878.0,330870.0,8.0,148483.0,100.0,45925.0,41.0,86193.0,1863.0,4767.0,9594.0,142557.0,621918.0,526902.0,19150.0,59932.0,8730.0,,2267.0,341.0,183.0,29.0,90.0,4473.0,8553.0
2004-08-20,329061.0,329048.0,13.0,149302.0,897.0,49441.0,371.0,82459.0,1814.0,4721.0,9599.0,141345.0,619707.0,525894.0,19150.0,57461.0,13719.0,,3570.0,891.0,3.0,19.0,90.0,4473.0,8158.0
2004-08-27,327262.0,327247.0,15.0,144726.0,100.0,51635.0,41.0,77038.0,1657.0,4677.0,9578.0,135196.0,607184.0,519139.0,19150.0,52228.0,11292.0,,2371.0,1300.0,,3.0,90.0,4473.0,8431.0
2004-09-03,329578.0,329561.0,18.0,149368.0,101.0,52587.0,41.0,80601.0,1757.0,4658.0,9623.0,135162.0,614109.0,519413.0,19186.0,58481.0,12294.0,1710.0,1281.0,1014.0,,3.0,90.0,4473.0,8458.0
2004-09-10,331246.0,331233.0,14.0,146676.0,100.0,52586.0,41.0,77880.0,1790.0,4628.0,9651.0,137416.0,615340.0,521998.0,19186.0,58212.0,9555.0,,1909.0,1183.0,,3.0,90.0,4473.0,8288.0
2004-09-17,329855.0,329838.0,17.0,153056.0,9099.0,52256.0,398.0,75323.0,1731.0,4771.0,9478.0,132406.0,615318.0,517509.0,19186.0,63492.0,9978.0,,2592.0,633.0,3.0,8.0,90.0,4473.0,7333.0
2004-09-24,326825.0,326809.0,16.0,164082.0,11996.0,52255.0,41.0,83561.0,1829.0,4846.0,9554.0,135603.0,626508.0,520619.0,19186.0,71876.0,10332.0,,2732.0,590.0,3.0,29.0,90.0,4473.0,6912.0
2004-10-01,325468.0,325457.0,11.0,156652.0,2950.0,53202.0,41.0,81476.0,1854.0,5023.0,12106.0,137121.0,619240.0,522515.0,19349.0,63767.0,6378.0,,868.0,1154.0,,14.0,90.0,4473.0,7012.0
2004-10-08,330993.0,330979.0,14.0,162093.0,4500.0,53200.0,41.0,85649.0,1897.0,5045.0,11761.0,136128.0,629214.0,521587.0,19349.0,72760.0,13323.0,,3631.0,717.0,,3.0,90.0,4473.0,6605.0
2004-10-15,333739.0,333725.0,14.0,159177.0,1818.0,54146.0,41.0,84367.0,1838.0,5230.0,11737.0,137891.0,630807.0,523424.0,19349.0,71250.0,18399.0,,5382.0,658.0,,3.0,90.0,4473.0,6180.0
2004-10-22,335591.0,335579.0,12.0,164321.0,101.0,52663.0,44.0,92486.0,2036.0,5243.0,11748.0,141177.0,641089.0,526819.0,19349.0,77899.0,20502.0,,5934.0,779.0,2.0,29.0,90.0,4473.0,5716.0
2004-10-29,334824.0,334803.0,21.0,160501.0,101.0,55087.0,41.0,86437.0,1945.0,5333.0,11557.0,138567.0,633891.0,525632.0,19349.0,73089.0,16875.0,,4460.0,1046.0,,29.0,90.0,4473.0,5724.0
2004-11-05,341840.0,341824.0,16.0,164914.0,793.0,55083.0,41.0,90266.0,1850.0,5180.0,11701.0,139268.0,646023.0,525563.0,19776.0,82740.0,21486.0,,3336.0,2017.0,1584.0,29.0,196.0,4473.0,6310.0
2004-11-12,352556.0,352539.0,18.0,170504.0,11401.0,54836.0,351.0,84973.0,1918.0,5182.0,11843.0,141364.0,664425.0,532661.0,19776.0,93394.0,23346.0,,3708.0,2178.0,1210.0,48.0,638.0,4473.0,6339.0
2004-11-19,352190.0,352175.0,16.0,180992.0,11333.0,54836.0,41.0,96092.0,1820.0,5200.0,11670.0,141959.0,675142.0,538832.0,19776.0,95584.0,30177.0,,4477.0,3081.0,2208.0,34.0,259.0,4473.0,6419.0
2004-11-26,347553.0,347539.0,13.0,164359.0,6618.0,51872.0,101.0,89442.0,1804.0,5091.0,9431.0,145765.0,657678.0,545801.0,19776.0,72321.0,25680.0,,4254.0,4205.0,8.0,3.0,90.0,4473.0,6750.0
2004-12-03,348467.0,348453.0,14.0,157183.0,101.0,50389.0,41.0,90124.0,1915.0,5214.0,9399.0,141697.0,647347.0,551944.0,20316.0,59180.0,8364.0,,761.0,1934.0,,3.0,90.0,4473.0,8646.0
2004-12-10,349944.0,349924.0,20.0,157110.0,5004.0,51334.0,41.0,84546.0,1754.0,5144.0,9287.0,141632.0,648686.0,552051.0,20316.0,60746.0,7872.0,,516.0,1989.0,,29.0,90.0,4473.0,8477.0
2004-12-17,348410.0,348392.0,18.0,177134.0,16829.0,52612.0,41.0,91554.0,1791.0,5088.0,9219.0,137782.0,663326.0,548905.0,20316.0,76910.0,14847.0,,1368.0,3421.0,18.0,52.0,90.0,4473.0,7773.0
2004-12-24,346230.0,346215.0,15.0,181501.0,22545.0,52609.0,41.0,89513.0,1835.0,5246.0,9712.0,136828.0,664559.0,547841.0,20316.0,77587.0,20034.0,,2217.0,3699.0,665.0,7.0,90.0,4473.0,7666.0
2004-12-31,343671.0,343658.0,13.0,182572.0,6617.0,52608.0,41.0,106550.0,1893.0,5230.0,9633.0,133831.0,660074.0,545466.0,19969.0,74401.0,24585.0,,3037.0,4921.0,110.0,37.0,90.0,4473.0,7570.0
2005-01-07,348505.0,348487.0,18.0,151776.0,101.0,53554.0,41.0,81718.0,1736.0,5087.0,9539.0,128000.0,628281.0,539645.0,19969.0,49810.0,17223.0,,1462.0,4175.0,,14.0,90.0,4473.0,8643.0
2005-01-14,351170.0,351153.0,17.0,162446.0,101.0,53554.0,41.0,92357.0,1796.0,5195.0,9402.0,129547.0,643163.0,540995.0,19969.0,63404.0,18798.0,,1651.0,4523.0,,2.0,90.0,4473.0,8057.0
2005-01-21,350571.0,350558.0,13.0,166421.0,100.0,53554.0,49.0,95107.0,1897.0,5223.0,10491.0,128874.0,645866.0,540392.0,19969.0,64520.0,24945.0,,3213.0,5010.0,,2.0,90.0,4473.0,8198.0
2005-01-28,348998.0,348984.0,14.0,167676.0,100.0,54499.0,41.0,96415.0,1926.0,5250.0,9445.0,130094.0,646768.0,541643.0,19969.0,64580.0,25185.0,,3435.0,4868.0,,2.0,90.0,3973.0,8209.0
2005-02-04,351687.0,351669.0,17.0,164750.0,101.0,55446.0,41.0,92836.0,1756.0,5171.0,9399.0,122767.0,639203.0,535148.0,19181.0,67242.0,13908.0,,753.0,3772.0,,21.0,90.0,3973.0,9024.0
2005-02-11,354386.0,354371.0,15.0,167246.0,101.0,56927.0,41.0,93753.0,1835.0,5240.0,9349.0,127128.0,648760.0,543769.0,19181.0,,14994.0,,1103.0,3762.0,,43.0,90.0,3973.0,8512.0
2005-02-18,353832.0,353819.0,13.0,165044.0,101.0,59354.0,41.0,89260.0,1738.0,5188.0,9362.0,132306.0,651182.0,557436.0,19181.0,54787.0,19584.0,,2521.0,3888.0,,29.0,90.0,3973.0,9277.0
2005-02-25,351562.0,351548.0,15.0,173650.0,100.0,60835.0,41.0,95176.0,1759.0,5263.0,10476.0,134144.0,659356.0,567289.0,19181.0,53904.0,17532.0,,2242.0,3480.0,,32.0,90.0,3973.0,9166.0
2005-03-04,355626.0,355615.0,12.0,169465.0,100.0,63263.0,41.0,89713.0,1769.0,5161.0,9418.0,134649.0,659742.0,575929.0,19096.0,46501.0,12855.0,,678.0,3485.0,,32.0,90.0,3973.0,9959.0
2005-03-11,360066.0,360051.0,15.0,176809.0,101.0,63263.0,41.0,96391.0,1891.0,5350.0,9772.0,136026.0,672900.0,586516.0,19096.0,48935.0,14106.0,,1039.0,3541.0,,32.0,90.0,3973.0,9678.0
2005-03-18,361224.0,361209.0,14.0,180303.0,10485.0,64211.0,41.0,88105.0,1819.0,5280.0,10362.0,136452.0,677979.0,595455.0,19096.0,43777.0,17976.0,,788.0,5032.0,50.0,32.0,90.0,3973.0,9685.0
2005-03-25,362505.0,362487.0,18.0,203549.0,9908.0,64211.0,943.0,110103.0,1763.0,5260.0,11361.0,129611.0,695666.0,592093.0,19096.0,65455.0,19164.0,,1229.0,5019.0,45.0,5.0,90.0,3973.0,8661.0
2005-04-01,360569.0,360552.0,18.0,175988.0,1590.0,62731.0,41.0,92983.0,2000.0,5342.0,11301.0,129426.0,665984.0,591769.0,19686.0,35960.0,14112.0,,593.0,3913.0,95.0,13.0,90.0,3973.0,9892.0
2005-04-08,369363.0,369351.0,12.0,180501.0,374.0,66132.0,416.0,96896.0,1782.0,5350.0,9551.0,130779.0,680644.0,593189.0,19686.0,48515.0,17109.0,,1701.0,3860.0,45.0,7.0,90.0,3973.0,9578.0
2005-04-15,374318.0,374304.0,14.0,186604.0,100.0,66121.0,41.0,103427.0,1751.0,5475.0,9689.0,131987.0,692910.0,594378.0,19686.0,57360.0,24123.0,,4220.0,3663.0,45.0,23.0,90.0,3973.0,9473.0
2005-04-22,376043.0,376032.0,12.0,180671.0,100.0,66121.0,107.0,97304.0,1983.0,5616.0,9440.0,135014.0,691729.0,597601.0,19686.0,52322.0,25392.0,,4608.0,3764.0,,2.0,90.0,3973.0,9684.0
2005-04-29,376899.0,376884.0,15.0,188562.0,100.0,67087.0,41.0,104411.0,1856.0,5593.0,9474.0,131015.0,696476.0,593423.0,19686.0,61201.0,26301.0,,4693.0,3956.0,,28.0,90.0,3973.0,9427.0
2005-05-06,384063.0,384048.0,15.0,180046.0,101.0,68062.0,41.0,94896.0,1900.0,5423.0,9623.0,126239.0,690348.0,588978.0,19393.0,61003.0,16629.0,,1480.0,3939.0,,34.0,90.0,3973.0,11460.0
2005-05-13,387206.0,387191.0,15.0,189964.0,100.0,68052.0,41.0,105241.0,1817.0,5454.0,9259.0,120485.0,697655.0,583201.0,19393.0,73540.0,19932.0,,2137.0,4383.0,,34.0,90.0,3973.0,10906.0
2005-05-20,385689.0,385675.0,14.0,184458.0,101.0,69026.0,41.0,98661.0,1892.0,5436.0,9301.0,119376.0,689523.0,581887.0,19393.0,67977.0,15486.0,,27.0,5023.0,,22.0,90.0,3973.0,11132.0
