Week_Ended,B_total,E_total,F_total,D_total
2021-07-16,1850953.2135998297,163225.47483672347,1865.7351105423406,6104791.179092169
2021-07-23,1857925.1467468173,162184.1407438045,1911.4052199612374,6150087.6073400825
2021-07-30,1856148.2913458333,162524.85552268295,2111.7375826091275,6154972.311735059
2021-08-06,1855422.3559595253,165850.44225293366,1884.5568279367867,6193152.612197394
2021-08-13,1852284.1187847306,165762.22370022352,1965.26638648768,6234652.552134747
2021-08-20,1850310.0437965712,166205.9216837749,2078.5272205581678,6270411.070757607
2021-08-27,1848557.3601537207,166576.39952148573,2121.807964777773,6282886.502799924
2021-09-03,1846384.314540329,166334.50179810525,2044.5106427933445,6281881.784617386
2021-09-10,1845788.4452725197,168577.9906352079,2099.8874531529427,6274339.571202329
2021-09-17,1846942.3515103986,168813.21648658978,2128.83231475235,6302931.43806962
2021-09-24,1847652.9511031061,169792.21232799953,2180.341154756298,6317070.4039783515
2021-10-01,1848293.9001323052,171550.87858064464,2205.7512963100157,6349129.284181424
2021-10-08,1848334.2946102421,172979.4211916462,2248.6932522144175,6378411.944878288
2021-10-15,1849538.1490471454,173586.91802717172,2274.6355728383696,6400764.893824189
2021-10-22,1850133.4248763646,173978.07847254697,2288.625386951015,6412978.113088641
2021-10-29,1851337.229607931,174847.8795753797,2297.3383147424947,6417483.275080317
2021-11-05,1852948.4261305842,176100.39357779195,2322.559893454717,6432146.882459234
2021-11-12,1854853.2583931603,177033.4623368192,2339.992789505718,6452966.429060005
2021-11-19,1856753.4950700307,178338.3279468069,2375.5103263152514,6473675.867478877
2021-11-26,1858415.7739819232,179448.80161758873,2406.2290882529583,6498997.814463418
2021-12-03,1860042.1997316666,180411.12541663565,2426.4522263641556,6521576.420592273
2021-12-10,1861965.1533750244,181223.51044578588,2444.7178308612183,6539937.902277548
2021-12-17,1863903.7075452455,181999.07918962598,2455.500656979586,6552734.505997517
2021-12-24,1866271.8720317574,182954.45123863991,2473.4690190626857,6566381.8497169595
2021-12-31,1868738.3589787646,183960.9595231608,2491.98743209356,6584915.456670633
2022-01-07,1871348.05181713,185043.89224519028,2511.393266710754,6604718.001379417
2022-01-14,1873970.0895098688,186134.83891972504,2535.1023905067286,6626031.631831044
2022-01-21,1876537.2878566338,187097.65177729205,2555.929709248456,6647824.125617209
2022-01-28,1879219.4950476824,187998.14936399582,2572.4054673304877,6667761.280657256
2022-02-04,1881985.8056134528,188846.53354622598,2585.629781690076,6684937.627677472
2022-02-11,1884930.9203677548,189741.21724936785,2598.2556998906066,6700782.496659056
2022-02-18,1888060.0083167164,190683.58802972763,2614.2676570297344,6718418.8039988205
2022-02-25,1891278.6800413863,191653.06545728585,2629.891933473631,6737655.448893295
2022-03-04,1894559.8475397462,192656.1256878267,2646.6306720288985,6757644.645365624
2022-03-11,1897861.2321997262,193622.97643690492,2663.763116541876,6778315.698924392
2022-03-18,1901211.0325857545,194531.8319203973,2678.9457217885947,6798586.969252564
2022-03-25,1904646.1048772675,195402.9865780443,2691.917929300159,6817619.9888508
2022-04-01,1908168.2644819734,196273.6579608596,2703.562145880679,6835468.629401837
2022-04-08,1911824.2116786027,197172.88271609132,2715.969877663194,6853537.106745619
2022-04-15,1915579.8037452353,198085.48250150017,2729.095127554562,6872582.423080853
2022-04-22,1919404.680067026,199013.93762165293,2742.3549905797,6892245.450386887
