Week_Ended,A_total,B_total,C_total,D_total,E_total,F_total,G_total,Loans_to_Deposits,Investments_to_Deposits,Notes_to_Deposits,Loans_to_Assets,B_total_wk_pctchg,B_total_yr_pctchg,B_total_rolling_mean_52,B_total_rolling_std_52,E_total_rolling_mean_52,E_total_rolling_std_52,F_total_rolling_mean_52,F_total_rolling_std_52,D_total_rolling_mean_52,D_total_rolling_std_52,A_total_rolling_mean_52,A_total_rolling_std_52
2004-07-02,333264.0,134169.0,137666.0,605100.0,10480.0,4473.0,10574.0,0.07811044279975254,0.033338550633902016,2.483912081032131,0.01731945133035862,,,,,,,,,,,,
2004-07-09,335332.0,133423.0,137242.0,605997.0,26295.0,4473.0,9992.0,0.19707996372439535,0.03352495446812019,2.5132998058805454,0.04339130391734613,-0.5560151748913666,,,,,,,,,,,
2004-07-16,333841.0,144280.0,143134.0,621255.0,21576.0,4473.0,9110.0,0.14954255614083725,0.031002217909620183,2.3138411422234544,0.034729700364584594,8.137277680759691,,,,,,,,,,,
2004-07-23,330232.0,143753.0,136747.0,610732.0,23274.0,4473.0,9151.0,0.16190270811739582,0.03111587236440283,2.297218145012626,0.03810836831867333,-0.3652619905738841,,,,,,,,,,,
2004-07-30,326661.0,145895.0,137572.0,610128.0,17181.0,4473.0,8950.0,0.11776277459816992,0.03065903560780013,2.2390143596422085,0.02815966485721029,1.4900558597037872,,,,,,,,,,,
2004-08-06,330115.0,143499.0,142442.0,616056.0,30264.0,4473.0,9862.0,0.21090042439320134,0.031170948926473357,2.300468992815281,0.049125404184035215,-1.6422769800198744,,,,,,,,,,,
2004-08-13,330878.0,148483.0,142557.0,621918.0,8730.0,4473.0,8553.0,0.05879460948391398,0.030124660735572423,2.2283897819952454,0.01403722034094527,3.473194935156343,,,,,,,,,,,
2004-08-20,329061.0,149302.0,141345.0,619707.0,13719.0,4473.0,8158.0,0.09188758355547816,0.02995941112644171,2.2039959277169765,0.022137881289060798,0.5515782951583725,,142850.5,5977.823493068841,18939.875,7692.572251157978,4473.0,0.0,613861.625,6770.775117844949,331173.0,2820.798873672902
2004-08-27,327262.0,144726.0,135196.0,607184.0,11292.0,4473.0,8431.0,0.07802329919986734,0.030906678827577628,2.261252297444827,0.018597327992832487,-3.064928802025424,,143058.88888888888,5626.580698889083,18090.11111111111,7633.976510385077,4473.0,0.0,613119.6666666666,6713.232511242234,330738.44444444444,2943.100368281347
2004-09-03,329578.0,149368.0,135162.0,614109.0,12294.0,4473.0,8458.0,0.08230678592469605,0.029946173209790584,2.2064833163729847,0.020019247397448987,3.2074402664345136,,143689.8,5667.565395397848,17510.5,7427.098973803074,4473.0,0.0,613218.6,6337.0237353368,330622.4,2798.9419905862087
2004-09-10,331246.0,146676.0,137416.0,615340.0,9555.0,4473.0,8288.0,0.06514358177206905,0.030495786631759798,2.2583517412528296,0.015528000780056554,-1.8022601895988477,,143961.27272727274,5451.590558560123,16787.272727272728,7443.067500579437,4473.0,0.0,613411.4545454546,6045.759213922357,330679.0909090909,2661.958130945922
2004-09-17,329855.0,153056.0,132406.0,615318.0,9978.0,4473.0,7333.0,0.06519182521430064,0.029224597532929122,2.155126228308593,0.016216005382582666,4.3497231994327645,,144719.16666666666,5823.304448246698,16219.833333333334,7363.885360735908,4473.0,0.0,613570.3333333334,5790.6197710895485,330610.4166666667,2549.2020661851116
2004-09-24,326825.0,164082.0,135603.0,626508.0,10332.0,4473.0,6912.0,0.06296851574212893,0.027260759863970453,1.9918394461305933,0.01649140952709303,7.203899226426924,,146208.61538461538,7741.118508097545,15766.923076923076,7237.027502844181,4473.0,0.0,614565.5384615385,6603.986404884361,330319.23076923075,2656.9070725766314
2004-10-01,325468.0,156652.0,137121.0,619240.0,6378.0,4473.0,7012.0,0.04071444986339147,0.028553736945586394,2.077649822536578,0.010299722240165364,-4.52822369303153,,146954.57142857142,7943.904123620503,15096.285714285714,7392.044158090835,4473.0,0.0,614899.4285714285,6466.72828602492,329972.71428571426,2863.0708481137417
2004-10-08,330993.0,162093.0,136128.0,629214.0,13323.0,4473.0,6605.0,0.08219355555144268,0.02759526938239159,2.0419944106161276,0.02117403617847028,3.473303883767853,,147963.8,8595.126735540327,14978.066666666668,7137.851942453062,4473.0,0.0,615853.7333333333,7245.136116898089,330040.73333333334,2771.4727252251137
2004-10-15,333739.0,159177.0,137891.0,630807.0,18399.0,4473.0,6180.0,0.11558830735596223,0.028100793456341054,2.0966534109827424,0.02916739985447213,-1.7989672595361883,,148664.625,8764.109438499734,15191.875,6948.651599411212,4473.0,0.0,616788.3125,7935.209030800651,330271.875,2832.6337302941315
2004-10-22,335591.0,164321.0,141177.0,641089.0,20502.0,4473.0,5716.0,0.12476798461547824,0.027221109900743057,2.0422891778896184,0.031979959100842476,3.231622659052502,,149585.58823529413,9296.663871107368,15504.235294117647,6850.160313173443,4473.0,0.0,618217.7647058824,9683.426166196372,330584.76470588235,3030.9445625376447
2004-10-29,334824.0,160501.0,138567.0,633891.0,16875.0,4473.0,5724.0,0.1051395318409231,0.027868985239967354,2.0861178435025325,0.0266212960903373,-2.324718082290156,,150192.0,9378.869635892106,15580.388888888889,6653.480947761272,4473.0,0.0,619088.5,10094.56155998047,330820.27777777775,3105.5805520642234
2004-11-05,341840.0,164914.0,139268.0,646023.0,21486.0,4473.0,6310.0,0.13028608850673684,0.02712322786422014,2.0728379640297367,0.03325887777989329,2.7495155793421766,,150966.84210526315,9720.266298724988,15891.21052631579,6606.437933973089,4473.0,0.0,620506.1052631579,11594.030417488024,331400.2631578947,3937.016070326837
2004-11-12,352556.0,170504.0,141364.0,664425.0,23346.0,4473.0,6339.0,0.13692347393609533,0.026233988645427673,2.0677286163374466,0.03513714866237724,3.389645512206352,,151943.7,10420.930093351863,16263.95,6642.786316749923,4473.0,0.0,622702.05,14959.61861487892,332458.05,6087.902849309578
2004-11-19,352190.0,180992.0,141959.0,675142.0,30177.0,4473.0,6419.0,0.16673112623762376,0.024713799504950496,1.9458871110325318,0.044697263686750345,6.151175338994985,,153326.95238095237,11972.765968965534,16926.47619047619,7151.086600084267,4473.0,0.0,625199.1904761905,18535.11805632501,333397.6666666667,7331.432474853293
2004-11-26,347553.0,164359.0,145765.0,657678.0,25680.0,4473.0,6750.0,0.15624334535985251,0.027214816347142536,2.1145967059911537,0.039046463466924544,-9.189908946251768,,153828.4090909091,11918.605861501517,17324.363636363636,7223.97480975315,4473.0,0.0,626675.5,19368.526653777666,334041.0909090909,7765.195915776356
2004-12-03,348467.0,157183.0,141697.0,647347.0,8364.0,4473.0,8646.0,0.05321186133360478,0.028457275914061952,2.216950942531953,0.012920427529593865,-4.366052360990269,,153974.26086956522,11665.567995435396,16934.782608695652,7300.994271993631,4473.0,0.0,627574.2608695652,19407.904313396266,334668.3043478261,8161.223027969103
2004-12-10,349944.0,157110.0,141632.0,648686.0,7872.0,4473.0,8477.0,0.05010502195913691,0.02847049837693336,2.2273820889822415,0.012135301208905387,-0.04644268146046793,,154104.91666666666,11427.09146270833,16557.166666666668,7376.257915812036,4473.0,0.0,628453.9166666666,19464.35198871466,335304.7916666667,8569.27382636546
2004-12-17,348410.0,177134.0,137782.0,663326.0,14847.0,4473.0,7773.0,0.08381790057244798,0.025252069055065655,1.9669289916108708,0.022382659506788517,12.745210362166626,,155026.08,12097.569962324396,16488.76,7229.046855568167,4473.0,0.0,629848.8,20290.825790243252,335829.0,8788.778512967561
2004-12-24,346230.0,181501.0,136828.0,664559.0,20034.0,4473.0,7666.0,0.11037955713742624,0.02464449231684674,1.90759279563198,0.03014630755132351,2.465365203744052,,156044.34615384616,12940.466220170925,16625.115384615383,7117.03352993042,4473.0,0.0,631183.8076923077,21013.978462003317,336229.03846153844,8849.50409223375
2004-12-31,343671.0,182572.0,133831.0,660074.0,24585.0,4473.0,7570.0,0.13465920294459172,0.02449992331792389,1.882386127116973,0.03724582395307193,0.5900793935019744,,157026.85185185185,13677.669191630195,16919.925925925927,7144.974731752304,4473.0,0.0,632253.8148148148,21342.817896708973,336504.6666666667,8795.048091004239
2005-01-07,348505.0,151776.0,128000.0,628281.0,17223.0,4473.0,8643.0,0.11347643896268185,0.029471062618595827,2.296179896689859,0.02741289327546114,-16.867865828275963,,156839.32142857142,13458.62142534053,16930.75,7011.645961066013,4473.0,0.0,632111.9285714285,20957.30433953506,336933.25,8923.625532197624
2005-01-14,351170.0,162446.0,129547.0,643163.0,18798.0,4473.0,8057.0,0.11571845413245017,0.0275353040394962,2.1617645248267117,0.029227427572792588,7.030096985030565,,157032.6551724138,13257.049516270486,16995.137931034482,6894.024921854628,4473.0,0.0,632493.0,20681.726986469435,337424.1724137931,9152.93749127636
2005-01-21,350571.0,166421.0,128874.0,645866.0,24945.0,4473.0,8198.0,0.14989093924444633,0.026877617608354713,2.106531026733405,0.03862256257489944,2.446966992108157,,157345.6,13138.762232679941,17260.133333333335,6927.869402952672,4473.0,0.0,632938.7666666667,20468.161283393034,337862.4,9308.529987282554
