,count,mean,std,min,25%,50%,75%,max
A_total,1112.0,1650820.1272392087,1057140.3940402335,325468.0,733954.75,1355507.875,2634119.6925,3814344.15
B_total,1112.0,752415.0996402878,549557.972198854,133423.0,345284.265,500056.645,1283371.5,2110694.55
C_total,1112.0,860976.0330215828,561934.2659408824,100144.0,352418.5,863897.6699999999,1273714.7825000002,2582289.07
D_total,1112.0,3258894.5718165464,2113351.5230484507,605100.0,1429490.5,2708601.7750000004,5305161.7225,8092953.77
E_total,1112.0,93128.64142985611,104836.40282829713,163.0,13235.0,45201.01,151355.4075,508283.0
F_total,1112.0,2394.373462230216,972.4545673422938,0.0,1320.0,2063.61,2750.0,13200.0
G_total,1112.0,12623.589802158273,8022.47065137017,88.0,6808.0,10896.555,16835.545000000002,82380.0
Loans_to_Deposits,1112.0,0.10656988673281637,0.08106134403303182,0.0005309152261926864,0.04045923210333609,0.09417946209207417,0.1477731184562317,0.4560104492349266
Investments_to_Deposits,1112.0,0.006119241500829446,0.006832091869836075,0.0,0.0016041525221979318,0.003617447756632311,0.006146430943376706,0.03352495446812019
Notes_to_Deposits,1112.0,2.3710304020593913,0.6556305337919054,0.6112946955909945,1.957753726128187,2.316400023518404,2.8444014840505054,3.8740999547633757
Loans_to_Assets,1112.0,0.023163522327374866,0.018108977860107435,0.0001112229405844322,0.00914417393029972,0.020527024319024964,0.03300708289240144,0.17671540341837236
B_total_wk_pctchg,1111.0,0.49115990337580795,7.315671594405922,-39.34654201968439,-2.849656273747642,0.20875571440654994,3.706911242556432,68.75469351356425
B_total_yr_pctchg,1060.0,17.47631954838136,37.82157493298692,-51.38128679618544,-6.1165184030111535,11.162114815532941,37.120041371973755,169.35113903392912
B_total_rolling_mean_52,1105.0,721072.2806086974,525649.2286617138,142850.5,354208.51923076925,474146.5961538461,1014787.8917307692,1909974.2053846153
B_total_rolling_std_52,1105.0,86052.0987322529,73250.04929050402,5451.590558560123,29468.43517214117,60500.40839739454,124375.2240514563,351891.59376294306
E_total_rolling_mean_52,1105.0,88990.37787299826,89050.76899535075,3850.5384615384614,17197.30769230769,42165.31634615384,153697.46173076922,297628.1769230769
E_total_rolling_std_52,1105.0,38383.53683712317,34774.610133599024,3774.711901295598,11326.30234385052,26048.300854889705,50101.31197380005,153303.97472677377
F_total_rolling_mean_52,1105.0,2436.4252593008373,909.084519038642,1320.0,1933.4615384615386,2063.7625000000003,2961.673076923077,4473.0
F_total_rolling_std_52,1105.0,212.1638134269988,388.13957874281965,0.0,0.0,0.15918343360296194,381.3563849048451,1719.1309758762404
D_total_rolling_mean_52,1105.0,3112623.205916959,2023603.36919963,613119.6666666666,1396146.4423076923,2603681.8505769228,4410758.144615384,7466649.4238461545
D_total_rolling_std_52,1105.0,142158.86518707237,140701.06399510216,5790.6197710895485,54986.49877572993,111891.15189612225,161723.86764048407,746580.6838497303
A_total_rolling_mean_52,1105.0,1580598.3881961973,1019432.9441373143,329972.71428571426,698314.9230769231,1350745.985576923,2325485.4536538464,3679171.653846154
A_total_rolling_std_52,1105.0,70395.8417719219,61971.106416922514,2549.2020661851116,31100.196218093242,49629.245150513445,92392.20028300784,327559.2973358488
